,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
内蒙古,1015,0,617,1,0,0.0,,,
呼伦贝尔,433,0,38,0,0,,,,
境外输入,323,0,323,0,0,,,,
阿拉善盟,165,0,165,0,0,,,,
锡林郭勒,29,0,29,0,0,,,,
鄂尔多斯,12,0,12,0,0,,,,
包头,11,0,11,0,0,,,,
呼和浩特,10,0,10,0,0,,,,
赤峰,9,0,9,0,0,,,,
通辽,9,0,7,0,0,,,,
巴彦淖尔,8,0,7,1,0,,,,
乌兰察布,3,0,3,0,0,,,,
乌海,2,0,2,0,0,,,,
锡林郭勒盟,1,0,0,0,0,,,,
兴安盟,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
安徽,1008,0,1002,6,0,0.0,,,
合肥,176,0,175,1,0,,,,
蚌埠,160,0,155,5,0,,,,
阜阳,156,0,156,0,0,,,,
亳州,108,0,108,0,0,,,,
安庆,83,0,83,0,0,,,,
六安,77,0,77,0,0,,,,
宿州,41,0,41,0,0,,,,
马鞍山,38,0,38,0,0,,,,
芜湖,34,0,34,0,0,,,,
铜陵,29,0,29,0,0,,,,
淮南,27,0,27,0,0,,,,
淮北,27,0,27,0,0,,,,
池州,17,0,17,0,0,,,,
滁州,13,0,13,0,0,,,,
黄山,9,0,9,0,0,,,,
境外输入,7,0,7,0,0,,,,
宣城,6,0,6,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
新疆,981,0,978,3,0,0.0,,,
乌鲁木齐,845,0,845,0,0,,,,
喀什,80,0,80,0,0,,,,
伊犁州,19,0,19,0,0,,,,
兵团第四师,10,0,9,1,0,,,,
昌吉州,5,0,5,0,0,,,,
第八师石河子,4,0,3,1,0,,,,
兵团第九师,4,0,3,1,0,,,,
吐鲁番,3,0,3,0,0,,,,
兵团第十二师,3,0,3,0,0,,,,
巴州,3,0,3,0,0,,,,
六师五家渠,2,0,2,0,0,,,,
阿克苏,1,0,1,0,0,,,,
第七师,1,0,1,0,0,,,,
未明确地区,1,0,1,0,0,,,,
兵团第六师五家渠市,0,0,0,0,0,,,,
阿拉尔,0,0,0,0,0,,,,
阿勒泰,0,0,0,0,0,,,,
和田,0,0,0,0,0,,,,
博尔塔拉蒙古自治州,0,0,0,0,0,,,,
塔城,0,0,0,0,0,,,,
哈密,0,0,0,0,0,,,,
图木舒克,0,0,0,0,0,,,,
兵团第八师石河子市,0,0,0,0,0,,,,
兵团第七师,0,0,0,0,0,,,,
克拉玛依,0,0,0,0,0,,,,
克孜勒苏柯尔克孜自治州,0,0,0,0,0,,,,
江西,959,0,958,1,0,0.0,,,
南昌,231,0,231,0,0,,,,
上饶,144,0,144,0,0,,,,
新余,129,0,129,0,0,,,,
九江,117,0,117,0,0,,,,
宜春,106,0,106,0,0,,,,
赣州,74,0,73,1,0,,,,
抚州,72,0,72,0,0,,,,
萍乡,33,0,33,0,0,,,,
吉安,22,0,22,0,0,,,,
鹰潭,18,0,18,0,0,,,,
境外输入,6,0,6,0,0,,,,
景德镇,6,0,6,0,0,,,,
赣江新区,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
辽宁,786,0,710,2,0,0.0,,,
大连,470,0,400,0,0,,,,
境外输入,148,0,144,0,0,,,,
沈阳,78,0,78,0,0,,,,
锦州,12,0,12,0,0,,,,
葫芦岛,12,0,11,1,0,,,,
营口,11,0,11,0,0,,,,
丹东,11,0,11,0,0,,,,
盘锦,11,0,11,0,0,,,,
阜新,8,0,8,0,0,,,,
铁岭,8,0,8,0,0,,,,
